time,融合1,融合2
2020-11-20 02:08:15,604.8614847644423,602.3534859316409
2020-11-20 02:08:20,604.9257838794944,602.2790369845467
2020-11-20 02:08:25,604.9826734521681,602.2041081894755
2020-11-20 02:08:30,605.0411260212629,602.1706032065717
2020-11-20 02:08:35,605.1320137863172,602.1454441668747
2020-11-20 02:08:40,605.1932913803507,602.0793430297218
2020-11-20 02:08:45,605.2621398341153,601.9991000025436
2020-11-20 02:08:50,605.3169807839964,601.9373378533039
2020-11-20 02:08:55,605.4360585447253,601.8796226155791
2020-11-20 02:09:00,605.4899491635059,601.8100240110617
2020-11-20 02:09:05,605.5433400065681,601.7434940722584
2020-11-20 02:09:10,605.6028978608146,601.6868772606753
2020-11-20 02:09:15,605.6760428983002,601.6528559655387
2020-11-20 02:09:20,605.7127220234119,601.6135001128567
2020-11-20 02:09:25,605.7444368182248,601.6116425328872
2020-11-20 02:09:30,605.7725641673014,601.6179496792179
2020-11-20 02:09:35,605.8073723152114,601.5875455906902
2020-11-20 02:09:40,605.8387986136062,601.5706189030391
2020-11-20 02:09:45,605.8718075902834,601.5543618057126
2020-11-20 02:09:50,605.897802458694,601.559950185346
2020-11-20 02:09:55,605.9054753060403,601.5475062874774
2020-11-20 02:10:00,605.9262317061217,601.5373265047783
2020-11-20 02:10:05,605.9588454780735,601.5413553243214
2020-11-20 02:10:10,605.9850780766399,601.5591731585013
2020-11-20 02:10:15,606.0146737777295,601.584225460509
2020-11-20 02:10:20,606.0666328528172,601.6171298227068
2020-11-20 02:10:25,606.0709335618894,601.6281359342266
2020-11-20 02:10:30,606.0549471663522,601.6400554139972
2020-11-20 02:10:35,606.0629340654285,601.6641941688857
2020-11-20 02:10:40,606.0638411619426,601.7272270073186
2020-11-20 02:10:45,606.0533870049511,601.7789416053016
2020-11-20 02:10:50,606.0512490350736,601.8344138260328
2020-11-20 02:10:55,606.0463126676478,601.8902204113217
2020-11-20 02:11:00,606.0220452940492,601.9847735335817
2020-11-20 02:11:05,606.0085131791653,602.0205496263649
2020-11-20 02:11:10,605.9909853557557,602.086586650228
2020-11-20 02:11:15,605.9863048381499,602.1525684424857
2020-11-20 02:11:20,605.9464742449716,602.2005344608214
2020-11-20 02:11:25,605.9105939824244,602.2714845086092
2020-11-20 02:11:30,605.8924685972572,602.3809939796342
2020-11-20 02:11:35,605.8749372882921,602.4292116609721
2020-11-20 02:11:40,605.8478321496898,602.5283812497827
2020-11-20 02:11:45,605.8212446719559,602.6454941134056
2020-11-20 02:11:50,605.7927978640951,602.7769652065149
2020-11-20 02:11:55,605.7681197088426,602.8766301191874
2020-11-20 02:12:00,605.7257990334966,602.9490467495152
2020-11-20 02:12:05,605.6838497391534,603.0586005616285
2020-11-20 02:12:10,605.6436025823942,603.1593723322977
2020-11-20 02:12:15,605.6140911723813,603.2698020862643
2020-11-20 02:12:20,605.5901512596773,603.4446666130375
2020-11-20 02:12:25,605.5394245640713,603.5388712677304
2020-11-20 02:12:30,605.496107518975,603.6223277647952
2020-11-20 02:12:35,605.4600541364856,603.7266005174233
2020-11-20 02:12:40,605.4067796047324,603.7939012370526
2020-11-20 02:12:45,605.3571955786629,603.8831766272302
2020-11-20 02:12:50,605.270246123489,603.9648338582211
2020-11-20 02:12:55,605.2147892748577,604.0324125834654
2020-11-20 02:13:00,605.1534528209409,604.1412237297093
2020-11-20 02:13:05,605.0765138322693,604.1756178046226
2020-11-20 02:13:10,604.9938583493157,604.2241527119286
2020-11-20 02:13:15,604.9303155799008,604.2748754821673
