time,融合1,融合2
2020-11-20 02:08:15,387.4977186130062,392.47099999999995
2020-11-20 02:08:20,387.4977186130062,392.47099999999995
2020-11-20 02:08:25,387.5521674605406,392.47099999999995
2020-11-20 02:08:30,387.68743964529494,392.47099999999995
2020-11-20 02:08:35,387.91612542743434,393.508
2020-11-20 02:08:40,387.9414737629424,393.508
2020-11-20 02:08:45,388.0187732853586,393.508
2020-11-20 02:08:50,388.09519271311694,393.508
2020-11-20 02:08:55,388.09519271311694,393.508
2020-11-20 02:09:00,388.1177761580579,393.508
2020-11-20 02:09:05,388.1177761580579,393.508
2020-11-20 02:09:10,388.1177761580579,393.508
2020-11-20 02:09:15,388.1177761580579,393.508
2020-11-20 02:09:20,388.0382483427365,393.508
2020-11-20 02:09:25,387.8234142774327,392.942
2020-11-20 02:09:30,387.564255245925,392.942
2020-11-20 02:09:35,387.4323261322757,392.942
2020-11-20 02:09:40,387.19515271686475,392.43600000000004
2020-11-20 02:09:45,386.98855332746433,392.43600000000004
2020-11-20 02:09:50,386.70388999300474,391.36349999999993
2020-11-20 02:09:55,386.31919478155925,391.36349999999993
2020-11-20 02:10:00,386.0928683832215,390.35049999999995
2020-11-20 02:10:05,385.72545884301053,390.35049999999995
2020-11-20 02:10:10,385.49148370278004,389.1925
2020-11-20 02:10:15,384.93559911281795,389.1925
2020-11-20 02:10:20,384.6044308324102,388.14349999999996
2020-11-20 02:10:25,384.26635256349476,388.14349999999996
2020-11-20 02:10:30,383.9846958019264,387.09400000000005
2020-11-20 02:10:35,383.7496761529216,387.09400000000005
2020-11-20 02:10:40,383.567183070083,386.587
2020-11-20 02:10:45,383.39454399865195,386.587
2020-11-20 02:10:50,383.36939762008205,386.587
2020-11-20 02:10:55,383.3415990521005,386.587
2020-11-20 02:11:00,383.3415990521005,386.587
2020-11-20 02:11:05,383.3415990521005,386.587
2020-11-20 02:11:10,383.3415990521005,386.587
2020-11-20 02:11:15,383.39332493809786,386.587
2020-11-20 02:11:20,383.5436564895349,387.13
2020-11-20 02:11:25,383.8136700450994,387.13
2020-11-20 02:11:30,384.10318750801093,387.13
2020-11-20 02:11:35,384.43851558509647,388.1795
2020-11-20 02:11:40,384.7517975501326,388.1795
2020-11-20 02:11:45,385.4094627810252,388.7585
2020-11-20 02:11:50,385.71368155491047,389.26499999999993
2020-11-20 02:11:55,386.3072848865483,389.7715
2020-11-20 02:12:00,386.48326088297677,390.314
2020-11-20 02:12:05,386.70959674756494,390.314
2020-11-20 02:12:10,387.016073135758,390.314
2020-11-20 02:12:15,387.2503994509695,391.327
2020-11-20 02:12:20,387.66271891012013,391.327
2020-11-20 02:12:25,388.0486762236135,391.327
2020-11-20 02:12:30,388.5136972451994,391.327
2020-11-20 02:12:35,389.09097989566266,392.33949999999993
2020-11-20 02:12:40,389.79391190773913,392.846
2020-11-20 02:12:45,390.26580228930425,393.35200000000003
2020-11-20 02:12:50,390.6227912728201,393.35200000000003
2020-11-20 02:12:55,390.9373053759747,393.35200000000003
2020-11-20 02:13:00,391.1874715868,393.8585
2020-11-20 02:13:05,391.3168695489594,393.8585
2020-11-20 02:13:10,391.47430718962147,393.8585
2020-11-20 02:13:15,391.50571925720845,393.8585
2020-11-20 02:13:20,391.6446119468783,393.8585
2020-11-20 02:13:25,391.59150080309405,393.8585
2020-11-20 02:13:30,391.6153214018623,393.8585
2020-11-20 02:13:35,391.58451737374077,393.8585
2020-11-20 02:13:40,391.58451737374077,393.8585
2020-11-20 02:13:45,391.5348808455976,393.8585
2020-11-20 02:13:50,391.4785081568031,393.3275000000001
2020-11-20 02:13:55,391.4479171093274,393.3275000000001
2020-11-20 02:14:00,391.3409584747412,393.3275000000001
2020-11-20 02:14:05,391.18551533544246,392.254
2020-11-20 02:14:10,390.9634092063283,392.254
2020-11-20 02:14:15,390.58675434256975,391.7475
2020-11-20 02:14:20,390.42722358154805,391.2415
2020-11-20 02:14:25,389.9817979991955,391.2415
2020-11-20 02:14:30,389.83087948921735,390.1925
2020-11-20 02:14:35,389.5453386925983,390.1925
2020-11-20 02:14:40,389.08105505481194,389.686
2020-11-20 02:14:45,389.00143056911963,389.17949999999996
2020-11-20 02:14:50,388.6957585733407,389.17949999999996
2020-11-20 02:14:55,388.3824256785575,388.673
2020-11-20 02:15:00,388.3087517426249,388.1665
2020-11-20 02:15:05,388.2542030409725,388.1665
2020-11-20 02:15:10,388.2300162143299,388.1665
2020-11-20 02:15:15,388.2300162143299,388.1665
2020-11-20 02:15:20,388.2300162143299,388.1665
2020-11-20 02:15:25,388.2300162143299,388.1665
2020-11-20 02:15:30,388.31875032179795,388.1665
2020-11-20 02:15:35,388.4104991978452,388.1665
2020-11-20 02:15:40,388.4405988920414,388.1665
2020-11-20 02:15:45,388.4933293994638,388.1665
2020-11-20 02:15:50,388.52357247593307,388.1665
2020-11-20 02:15:55,388.5504195669943,388.1665
2020-11-20 02:16:00,388.60728422803663,388.1665
2020-11-20 02:16:05,388.60728422803663,388.1665
2020-11-20 02:16:10,388.60728422803663,388.1665
2020-11-20 02:16:15,388.69257930878905,388.1665
2020-11-20 02:16:20,388.69257930878905,388.1665
2020-11-20 02:16:25,388.8148222184305,388.1665
2020-11-20 02:16:30,388.85945428872134,388.1665
2020-11-20 02:16:35,388.953028797762,388.1665
2020-11-20 02:16:40,389.04065092954244,388.1665
2020-11-20 02:16:45,389.2155629052871,388.1665
2020-11-20 02:16:50,389.2753120635445,388.1665
2020-11-20 02:16:55,389.4509236539,388.1665
2020-11-20 02:17:00,389.51682772035724,388.1665
