time,融合1,融合2,融合3
2020-11-1 15:43:45,463.27915859152193,453.0954320931808,465.8809263634628
2020-11-1 15:43:50,463.3724957970768,453.0954320931808,465.8809263634628
2020-11-1 15:43:55,463.3724957970768,453.0954320931808,465.8809263634628
2020-11-1 15:44:00,463.3724957970768,453.0954320931808,465.8809263634628
2020-11-1 15:44:05,463.41734216202235,453.0954320931808,465.8809263634628
2020-11-1 15:44:10,463.41734216202235,453.0954320931808,465.8809263634628
2020-11-1 15:44:15,463.41734216202235,453.0954320931808,465.8809263634628
2020-11-1 15:44:20,463.45539950026694,453.0954320931808,465.8809263634628
2020-11-1 15:44:25,463.45539950026694,453.0954320931808,465.8809263634628
2020-11-1 15:44:30,463.70343552211165,453.0954320931808,465.8809263634628
2020-11-1 15:44:35,463.7154768549951,453.0954320931808,465.8809263634628
2020-11-1 15:44:40,463.7611757569709,453.0954320931808,465.8809263634628
2020-11-1 15:44:45,463.8742613815714,453.0954320931808,465.8809263634628
2020-11-1 15:44:50,463.9185827842041,453.0954320931808,465.8809263634628
2020-11-1 15:44:55,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:00,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:05,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:10,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:15,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:20,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:25,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:30,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:35,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:40,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:45,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:50,463.9451413932153,453.0954320931808,465.8809263634628
2020-11-1 15:45:55,463.9451413932153,453.0954320931808,465.8809263634628
