time,融合1,融合2
2020-11-1 03:15:50,425.98613433234294,432.80625970142296
2020-11-1 03:15:55,426.11727159713826,432.9679695413189
2020-11-1 03:16:00,426.11727159713826,433.0979676538095
2020-11-1 03:16:05,426.24340064113085,433.3105640709649
2020-11-1 03:16:10,426.28821034119034,433.43935724289975
2020-11-1 03:16:15,426.39371053033915,433.61020957166477
2020-11-1 03:16:20,426.52034430259135,433.69405283987606
2020-11-1 03:16:25,426.56986486380845,433.73898767252416
2020-11-1 03:16:30,426.73577041544524,433.7837702217523
2020-11-1 03:16:35,426.82262118454,433.99113458747905
2020-11-1 03:16:40,426.85135934272046,433.99113458747905
2020-11-1 03:16:45,426.92904632119473,434.2029641268054
2020-11-1 03:16:50,427.0568529179332,434.3356063327411
2020-11-1 03:16:55,427.1362346924846,434.4607648791644
2020-11-1 03:17:00,427.262361738347,434.53562860263105
2020-11-1 03:17:05,427.3680574294745,434.7173703838489
2020-11-1 03:17:10,427.44932006494787,434.894663810217
2020-11-1 03:17:15,427.52455377643065,435.19077948510875
2020-11-1 03:17:20,427.76713638148084,435.2356198970077
2020-11-1 03:17:25,427.9559828600569,435.5217167077099
2020-11-1 03:17:30,428.11327731430663,435.5580176641815
2020-11-1 03:17:35,428.3395325511806,435.78172643344726
2020-11-1 03:17:40,428.47183541160086,436.1586764313067
2020-11-1 03:17:45,428.54707455557894,436.3255247468865
2020-11-1 03:17:50,428.65495559527494,436.41240753402684
2020-11-1 03:17:55,428.83883593702444,436.53267467985233
2020-11-1 03:18:00,428.93639646585314,436.56794583620626
2020-11-1 03:18:05,429.0139098986051,436.6548531465185
2020-11-1 03:18:10,429.0139098986051,436.6548531465185
2020-11-1 03:18:15,429.15054555054655,436.7936456976153
2020-11-1 03:18:20,429.17879176192196,436.8432148498526
2020-11-1 03:18:25,429.20692108542005,436.8432148498526
2020-11-1 03:18:30,429.2646897915513,436.90268833629415
2020-11-1 03:18:35,429.37864264796826,436.90268833629415
2020-11-1 03:18:40,429.479534714854,436.9721306516157
2020-11-1 03:18:45,429.6386471368528,437.06008296454485
2020-11-1 03:18:50,429.8876598969907,437.06008296454485
2020-11-1 03:18:55,429.918319980726,437.06008296454485
2020-11-1 03:19:00,430.24490065525447,437.2333908999721
2020-11-1 03:19:05,430.3040483692216,437.63494802720675
2020-11-1 03:19:10,430.38074528037083,437.67700226596384
2020-11-1 03:19:15,430.5744219496316,438.02565787671523
2020-11-1 03:19:20,430.60083462416037,438.1101938189476
2020-11-1 03:19:25,431.01534550163086,438.31895858586046
2020-11-1 03:19:30,431.2242765710347,438.6547371133193
2020-11-1 03:19:35,431.3461459055653,438.950857824787
2020-11-1 03:19:40,431.54958114435465,439.3318411433213
2020-11-1 03:19:45,431.88339195657886,439.37184994194473
2020-11-1 03:19:50,432.08456603466163,439.7479691125627
2020-11-1 03:19:55,432.3043207249998,440.1354439192816
2020-11-1 03:20:00,432.44556046559165,440.25800065251815
2020-11-1 03:20:05,432.6028452701067,440.3412819003879
2020-11-1 03:20:10,432.74831558861024,440.38108947341647
2020-11-1 03:20:15,433.05481334809997,440.46826031376384
2020-11-1 03:20:20,433.21680639693585,440.5971678917058
2020-11-1 03:20:25,433.4371924199321,440.5971678917058
2020-11-1 03:20:30,433.59061254323854,440.6748236817681
2020-11-1 03:20:35,433.68480550737695,440.6748236817681
2020-11-1 03:20:40,433.7151989063674,440.7220853410062
2020-11-1 03:20:45,433.893782645603,440.765329771802
2020-11-1 03:20:50,434.02872313525205,440.89817556853563
2020-11-1 03:20:55,434.1845480121667,440.9801937499221
2020-11-1 03:21:00,434.4506871246652,441.0650986596433
2020-11-1 03:21:05,434.56021370924685,441.150322307203
2020-11-1 03:21:10,434.6052655423629,441.43920631479307
2020-11-1 03:21:15,434.6052655423629,441.69027785496706
2020-11-1 03:21:20,434.66597929341,441.78019878093096
2020-11-1 03:21:25,434.75946650132727,441.8206510845539
2020-11-1 03:21:30,434.8845542814989,441.85808126720036
2020-11-1 03:21:35,434.93363407963574,441.85808126720036
2020-11-1 03:21:40,434.93363407963574,441.85808126720036
2020-11-1 03:21:45,434.93363407963574,441.85808126720036
2020-11-1 03:21:50,434.93363407963574,441.85808126720036
2020-11-1 03:21:55,434.93363407963574,441.85808126720036
2020-11-1 03:22:00,434.7971482232177,441.6971820986048
2020-11-1 03:22:05,434.58570514483046,441.32014257599695
2020-11-1 03:22:10,434.2132594778771,440.8373690383037
2020-11-1 03:22:15,433.9768109256695,440.34229583237357
